ingestion_year;ingestion_month;ingestion_day;id_mascara;ctrl_terc;estado_cli;f_vinc;genero_cli;f_nacim_cli;estado_civil;ocup;ingresos
2021;11;30;9114784;EXCLIENTE;INACTIVO;20190503;M;19790831;UNION LIBRE;EMPLEADO;989000
2021;11;30;10309164;CLIENTE;ACTIVO;20210119;M;19930515;CASADO;EMPLEADO;1200000
2021;11;30;1667459;CLIENTE;ACTIVO;20190401;M;19840818;SOLTERO;EMPLEADO;1200000
2021;11;30;9501656;CLIENTE;ACTIVO;20190513;M;19811108;UNION LIBRE;EMPLEADO;1500000
2021;11;30;3864147;CLIENTE;ACTIVO;20211122;F;19530901;VIUDO;AMA DE CASA;2600000
2021;11;30;15202851;EXCLIENTE;INACTIVO;20190328;M;19941121;NULL;OTRO;851000
2021;11;30;14839360;CLIENTE;ACTIVO;20180709;F;19860604;NULL;OTRO;4289280
2021;11;30;10294026;CLIENTE;ACTIVO;20180706;F;19981128;UNION LIBRE;EMPLEADO;1042000
2021;11;30;10315045;CLIENTE;ACTIVO;20180718;M;19990604;SOLTERO;EMPLEADO;1210000
2021;11;30;16388769;CLIENTE;ACTIVO;20180712;F;19800614;CASADO;SOCIO O EMPLEADO - SOCIO;2100000
2021;11;30;14514910;EXCLIENTE;INACTIVO;20180714;F;19961016;UNION LIBRE;ESTUDIANTE;800000
2021;11;30;11075795;CLIENTE;ACTIVO;20180625;M;19871126;SOLTERO;EMPLEADO;4618222
2021;11;30;10137939;EXCLIENTE;INACTIVO;20180628;M;19850619;UNION LIBRE;EMPLEADO;700000
2021;11;30;1600994;EXCLIENTE;INACTIVO;20180814;M;19620107;UNION LIBRE;EMPLEADO;1200000
2021;11;30;14557220;CLIENTE;ACTIVO;20180802;F;19941019;SOLTERO;EMPLEADO;2131407
2021;11;30;12599546;CLIENTE;ACTIVO;20180801;M;19970209;SOLTERO;EMPLEADO;10168190
2021;11;30;7398482;CLIENTE;ACTIVO;20180804;F;19850126;UNION LIBRE;AMA DE CASA;1000000
2021;11;30;12656459;EXCLIENTE;INACTIVO;20180803;M;19991118;SOLTERO;EMPLEADO;781242
2021;11;30;11828384;EXCLIENTE;INACTIVO;20180813;M;19910730;NO INFORMA;OTRO;2408000
2021;11;30;11085581;CLIENTE;ACTIVO;20180815;F;19900620;UNION LIBRE;EMPLEADO;1400000
2021;11;30;10395227;CLIENTE;INACTIVO;20180809;F;20030202;NO INFORMA;OTRO;1227000
2021;11;30;7102875;CLIENTE;ACTIVO;20180725;F;19840101;SOLTERO;EMPLEADO;2500000
2021;11;30;9630529;EXCLIENTE;INACTIVO;20180504;F;19000101;NO INFORMA;NULL;1138000
2021;11;30;1995788;EXCLIENTE;INACTIVO;20180504;F;19000101;NO INFORMA;NULL;1013000
2021;11;30;14633014;EXCLIENTE;INACTIVO;20180507;M;19930802;SOLTERO;ESTUDIANTE;1234000
2021;11;30;8102270;CLIENTE;INACTIVO;20180507;M;19751109;CASADO;EMPLEADO;666750
2021;11;30;14393448;EXCLIENTE;INACTIVO;20180510;F;19950404;SOLTERO;OTRO;1512000
2021;11;30;9635435;CLIENTE;ACTIVO;20180515;M;19830222;SOLTERO;PROFESIONAL INDEPENDIENTE;1030850
2021;11;30;3731298;EXCLIENTE;INACTIVO;20180424;F;19590104;CASADO;EMPLEADO;695250
2021;11;30;14785254;CLIENTE;INACTIVO;20180423;M;19960615;SOLTERO;EMPLEADO;841000
2021;11;30;14718186;EXCLIENTE;INACTIVO;20180503;M;19961006;UNION LIBRE;EMPLEADO;1127793
2021;11;30;15986551;EXCLIENTE;INACTIVO;20180625;F;19910402;UNION LIBRE;AMA DE CASA;562500
2021;11;30;10007202;CLIENTE;ACTIVO;20210726;F;20000220;SOLTERO;AMA DE CASA;200000
